id,account_id,counterparty_id,date,amount,currency,flow_direction,description,gl_code,data_source,record_type
tx_oecd_HKG_NTR_C_L01_HKG_2015_264,acc_hkg_NTR_C_L01_HKG,gov_hkg,2015-01-01,60893.0,HKD,inbound,Tax revenue: Non-tax revenue,NTR_C_L01_HKG,OECD_CTP,tax_revenue
tx_oecd_HKG_NTR_C_L02_HKG_2015_265,acc_hkg_NTR_C_L02_HKG,gov_hkg,2015-01-01,7498.0,HKD,inbound,Tax revenue: Non-tax revenue,NTR_C_L02_HKG,OECD_CTP,tax_revenue
tx_oecd_HKG_NTR_C_L03_HKG_2016_266,acc_hkg_NTR_C_L03_HKG,gov_hkg,2016-01-01,4256.0,HKD,inbound,Tax revenue: Non-tax revenue,NTR_C_L03_HKG,OECD_CTP,tax_revenue
tx_oecd_HKG_NTR_C_L01_HKG_2016_267,acc_hkg_NTR_C_L01_HKG,gov_hkg,2016-01-01,127970.0,HKD,inbound,Tax revenue: Non-tax revenue,NTR_C_L01_HKG,OECD_CTP,tax_revenue
tx_oecd_HKG_NTR_C_L02_HKG_2016_268,acc_hkg_NTR_C_L02_HKG,gov_hkg,2016-01-01,7329.0,HKD,inbound,Tax revenue: Non-tax revenue,NTR_C_L02_HKG,OECD_CTP,tax_revenue
tx_oecd_HKG_NTR_C_L03_HKG_2017_269,acc_hkg_NTR_C_L03_HKG,gov_hkg,2017-01-01,4373.0,HKD,inbound,Tax revenue: Non-tax revenue,NTR_C_L03_HKG,OECD_CTP,tax_revenue
tx_oecd_HKG_NTR_C_L01_HKG_2017_270,acc_hkg_NTR_C_L01_HKG,gov_hkg,2017-01-01,164811.0,HKD,inbound,Tax revenue: Non-tax revenue,NTR_C_L01_HKG,OECD_CTP,tax_revenue
tx_oecd_HKG_NTR_C_L02_HKG_2017_271,acc_hkg_NTR_C_L02_HKG,gov_hkg,2017-01-01,7743.0,HKD,inbound,Tax revenue: Non-tax revenue,NTR_C_L02_HKG,OECD_CTP,tax_revenue
tx_oecd_HKG_NTR_C_L03_HKG_2018_272,acc_hkg_NTR_C_L03_HKG,gov_hkg,2018-01-01,4440.0,HKD,inbound,Tax revenue: Non-tax revenue,NTR_C_L03_HKG,OECD_CTP,tax_revenue
tx_oecd_HKG_NTR_C_L01_HKG_2018_273,acc_hkg_NTR_C_L01_HKG,gov_hkg,2018-01-01,116861.0,HKD,inbound,Tax revenue: Non-tax revenue,NTR_C_L01_HKG,OECD_CTP,tax_revenue
tx_oecd_HKG_NTR_C_L02_HKG_2018_274,acc_hkg_NTR_C_L02_HKG,gov_hkg,2018-01-01,8199.0,HKD,inbound,Tax revenue: Non-tax revenue,NTR_C_L02_HKG,OECD_CTP,tax_revenue
tx_oecd_HKG_NTR_C_L03_HKG_2019_275,acc_hkg_NTR_C_L03_HKG,gov_hkg,2019-01-01,3906.0,HKD,inbound,Tax revenue: Non-tax revenue,NTR_C_L03_HKG,OECD_CTP,tax_revenue
tx_oecd_HKG_NTR_C_L01_HKG_2019_276,acc_hkg_NTR_C_L01_HKG,gov_hkg,2019-01-01,141728.0,HKD,inbound,Tax revenue: Non-tax revenue,NTR_C_L01_HKG,OECD_CTP,tax_revenue
